time,open,high,low,close,tick_volume
2025-03-03 23:00:00,0.55721,0.55747,0.55721,0.55747,48
2025-03-03 23:01:00,0.55746,0.5575,0.55739,0.55747,32
2025-03-03 23:02:00,0.55745,0.55753,0.55739,0.55744,35
2025-03-03 23:03:00,0.55744,0.55749,0.55738,0.55747,31
2025-03-03 23:04:00,0.55749,0.55753,0.55746,0.55749,33
2025-03-03 23:05:00,0.5575,0.55754,0.55746,0.55753,31
2025-03-03 23:06:00,0.55757,0.55763,0.55754,0.55763,24
2025-03-03 23:07:00,0.55764,0.55764,0.55748,0.55749,28
2025-03-03 23:08:00,0.5575,0.55758,0.5575,0.55755,21
2025-03-03 23:09:00,0.55754,0.55756,0.55746,0.55753,29
2025-03-03 23:10:00,0.55752,0.55755,0.5575,0.55755,19
2025-03-03 23:11:00,0.55755,0.55756,0.55749,0.55754,15
2025-03-03 23:12:00,0.55755,0.55758,0.5575,0.55753,29
2025-03-03 23:13:00,0.55752,0.55753,0.55749,0.55753,9
2025-03-03 23:14:00,0.55754,0.55755,0.55748,0.55749,31
2025-03-03 23:15:00,0.55749,0.55754,0.55744,0.55754,22
2025-03-03 23:16:00,0.55755,0.55758,0.55752,0.55756,18
2025-03-03 23:17:00,0.55756,0.55757,0.55751,0.55755,12
2025-03-03 23:18:00,0.55755,0.5576,0.55754,0.55759,24
2025-03-03 23:19:00,0.55759,0.55771,0.55759,0.55768,22
2025-03-03 23:20:00,0.55768,0.5577,0.55763,0.5577,28
2025-03-03 23:21:00,0.55771,0.55776,0.55767,0.55769,27
2025-03-03 23:22:00,0.55771,0.55779,0.55768,0.55773,47
2025-03-03 23:23:00,0.55772,0.55775,0.55772,0.55775,20
2025-03-03 23:24:00,0.55773,0.5578,0.55771,0.55779,31
2025-03-03 23:25:00,0.55779,0.55781,0.55772,0.55775,39
2025-03-03 23:26:00,0.55775,0.55778,0.55771,0.55772,29
2025-03-03 23:27:00,0.55771,0.5578,0.55771,0.55776,23
2025-03-03 23:28:00,0.55777,0.5578,0.5577,0.55772,29
2025-03-03 23:29:00,0.55776,0.5578,0.55772,0.5578,39
2025-03-03 23:30:00,0.55782,0.55784,0.55776,0.55781,42
2025-03-03 23:31:00,0.55783,0.55785,0.55779,0.55782,16
2025-03-03 23:32:00,0.55784,0.55784,0.5577,0.5577,10
2025-03-03 23:33:00,0.55772,0.55777,0.55767,0.5577,17
2025-03-03 23:34:00,0.55769,0.55772,0.55761,0.55767,21
2025-03-03 23:35:00,0.55797,0.55797,0.55764,0.55768,16
2025-03-03 23:36:00,0.55767,0.55778,0.55767,0.55774,16
2025-03-03 23:37:00,0.55775,0.55777,0.55771,0.55774,16
2025-03-03 23:38:00,0.55774,0.55776,0.5577,0.55771,24
2025-03-03 23:39:00,0.5577,0.55772,0.55767,0.55769,23
2025-03-03 23:40:00,0.55768,0.55779,0.55768,0.55778,28
2025-03-03 23:41:00,0.55779,0.55781,0.55775,0.55776,21
2025-03-03 23:42:00,0.55779,0.55789,0.55779,0.55788,10
2025-03-03 23:43:00,0.55788,0.55788,0.55777,0.55782,21
2025-03-03 23:44:00,0.55781,0.55782,0.55777,0.5578,17
2025-03-03 23:45:00,0.5578,0.55807,0.55772,0.55772,11
2025-03-03 23:46:00,0.55771,0.55771,0.55767,0.5577,14
2025-03-03 23:47:00,0.55771,0.55771,0.55762,0.55765,12
2025-03-03 23:48:00,0.55766,0.55766,0.55764,0.55766,9
2025-03-03 23:49:00,0.55766,0.55766,0.55759,0.55762,15
2025-03-03 23:50:00,0.55761,0.55763,0.55752,0.55756,27
2025-03-03 23:51:00,0.55755,0.55759,0.55753,0.55759,40
2025-03-03 23:52:00,0.55761,0.55765,0.5576,0.55763,17
2025-03-03 23:53:00,0.55763,0.55763,0.55759,0.5576,30
2025-03-03 23:54:00,0.5576,0.55762,0.55758,0.55761,28
2025-03-03 23:55:00,0.55798,0.55805,0.55795,0.55804,25
2025-03-03 23:56:00,0.55804,0.55805,0.55796,0.55803,64
2025-03-03 23:57:00,0.55802,0.55817,0.55801,0.55814,71
2025-03-03 23:58:00,0.55814,0.55819,0.55812,0.55818,89
2025-03-03 23:59:00,0.558,0.558,0.5579,0.558,17
2025-03-04 00:00:00,0.55743,0.55743,0.557,0.557,2
